Timestamp,Participant ID,Condition ID ,Dataset ID,My actions were dependent on the other’s actions.,The other’s actions were dependent on my actions.,My behavior was in direct response to the other’s behavior.,The behavior of the other was direct response to my behavior.,What the other did affected what I did.,What I did affected what the other did. ,My partner did not help me very much. ,I did not help the other very much. ,My partner worked with me to complete the task. ,I worked with the other individual to complete the task. ,The other could not act without me. ,I could not act with the other. 
8/30/2022 5:13:59,P4,PC PC,D1,2,2,2,2,2,5,2,2,6,6,3,3
8/30/2022 5:16:10,P3,PC PC,D1,4,4,7,7,4,4,1,1,4,4,1,1
8/30/2022 6:00:12,P4,VR VR,D2,6,6,5,5,5,5,2,2,6,6,6,6
8/30/2022 6:00:56,P3,VR VR,D2,5,4,5,5,5,5,1,1,4,4,2,2
8/30/2022 6:26:37,P4,PC VR,D3,5,6,6,6,6,6,3,3,5,6,6,5
8/30/2022 6:27:35,P3,PC VR,D3,5,5,5,5,5,5,1,1,4,4,1,1
8/30/2022 9:16:03,P6,VR VR,D1,3,4,4,4,2,3,4,5,5,5,2,2
8/30/2022 9:17:12,P5,VR VR,D1,2,2,5,5,6,6,1,1,7,7,3,3
8/30/2022 9:58:47,P6,PC PC,D2,2,2,3,3,3,3,2,3,5,5,3,3
8/30/2022 9:59:26,P5,PC PC,D2,1,1,1,1,2,2,4,4,5,5,1,1
8/30/2022 10:32:42,P5,PC VR,D3,4,4,4,4,3,3,2,2,5,5,2,2
8/30/2022 10:32:48,P6,PC VR,D3,4,4,4,4,5,5,2,2,5,5,4,4
8/31/2022 5:01:33,p8,VR VR,D1,7,7,2,2,5,5,1,1,7,7,3,3
8/31/2022 5:02:09,P7,VR VR,D1,2,2,2,2,2,2,1,6,7,7,3,3
8/31/2022 5:35:43,p8,PC VR,D2,3,3,3,3,3,3,1,1,7,7,3,3
8/31/2022 5:36:14,P7,PC VR,D2,6,3,2,5,5,2,1,2,7,7,4,6
8/31/2022 6:02:49,p8,PC PC,D3,5,5,2,2,4,4,1,1,7,7,4,4
8/31/2022 6:03:09,P7,PC PC,D3,5,5,3,3,3,3,2,2,6,6,1,1
8/31/2022 8:57:39,P9,PC VR,D1,2,5,3,3,4,5,3,3,6,6,5,1
8/31/2022 8:57:48,P10,PC VR,D1,5,4,5,5,5,4,6,5,6,5,3,4
8/31/2022 9:22:39,P10,VR VR,D2,3,3,4,4,3,3,3,3,5,5,4,3
8/31/2022 9:23:14,P9,VR VR,D2,5,3,3,3,2,3,1,6,5,5,6,1
