pid,ranking
p1,"PC-PC, VR-VR, PC-VR"
p2,"PC-PC, VR-VR, PC-VR"
p3,"PC-VR, PC-PC, VR-VR"
p4,"PC-VR, PC-PC, VR-VR"
p5,"PC-VR, PC-PC, VR-VR"
p6,"PC-VR, PC-PC, VR-VR"
p7,"PC-PC, PC-VR, VR-VR"
p8,"PC-PC, PC-VR, VR-VR"
p9,"PC-PC, PC-VR, VR-VR"
p10,"PC-PC, PC-VR, VR-VR"
p13,"PC-VR, VR-VR, PC-PC"
p14,"PC-PC, VR-VR, PC-VR"
p16,"PC-VR, PC-PC, VR-VR"
p15,"PC-VR, VR-VR, PC-PC"
p18,"PC-PC, PC-VR, VR-VR"
p17,"PC-PC, PC-VR, VR-VR"
p21,"PC-PC, PC-VR, VR-VR"
p22,"PC-PC, VR-VR, PC-VR"
p23,"PC-PC, PC-VR, VR-VR"
p24,"PC-PC, VR-VR, PC-VR"
p12,"PC-PC, PC-VR, VR-VR"
p11,"PC-PC, VR-VR, PC-VR"
p19,"VR-VR, PC-PC, PC-VR"
p20,"PC-PC, VR-VR, PC-VR"
